project_id,project_type,state,district,land_area,affected_families,num_parcels,num_villages,notification_pct,survey_pct,verification_pct,objection_pct,award_pct,compensation_pct,rr_pct,possession_pct,overall_completion,legal_disputes,comp_total,comp_paid,comp_pending,avg_response_days,approval_delay,docs_total,docs_pending,doc_anomalies,velocity_change,project_value,delay_days,risk_score,delay_probability,is_delayed
LA-UP-0160,Power Transmission,Uttar Pradesh,Bareilly,922.66,1656,1583,14,0.41,0.35,0.32,0.21,0.15,0.08,0.08,0.04,0.2,63,20858.14,1524.54,19333.6,23.3,60,254,79,17,-58.1,156.31,132,91,0.87,1
LA-R-0372,Airport,Rajasthan,Kota,748.78,691,710,8,0.52,0.35,0.35,0.16,0.15,0.15,0.15,0.15,0.25,64,16647.87,1904.35,14743.52,22.0,58,72,9,1,-10.7,3326.76,120,90,0.86,1
LA-R-0358,Power Transmission,Rajasthan,Udaipur,1279.47,975,1002,12,0.37,0.37,0.37,0.29,0.29,0.12,0.04,0.04,0.24,36,17608.79,1534.03,16074.76,24.8,57,228,20,4,7.4,4513.66,120,89,0.93,1
LA-TN-0213,National Highway,Tamil Nadu,Tiruchirappalli,471.32,341,256,3,0.43,0.41,0.34,0.27,0.27,0.1,0.1,0.0,0.24,34,2378.24,211.03,2167.21,20.5,54,286,18,0,-41.9,2717.28,121,88,0.95,1
LA-UP-0135,Canal/Irrigation,Uttar Pradesh,Meerut,1050.56,693,648,6,0.61,0.34,0.34,0.34,0.2,0.2,0.04,0.04,0.26,32,14997.51,2872.69,12124.82,22.7,57,193,12,1,-30.0,4632.36,132,86,0.94,1
LA-M-0035,Industrial Corridor,Maharashtra,Thane,1631.19,1417,1528,16,0.44,0.44,0.32,0.26,0.16,0.16,0.14,0.08,0.25,213,32147.24,3894.62,28252.62,23.8,59,154,26,0,-5.0,2317.91,131,86,0.82,1
LA-G-0447,National Highway,Gujarat,Rajkot,3548.03,1884,1848,16,0.65,0.54,0.45,0.32,0.26,0.09,0.07,0.07,0.31,35,43300.0,2990.54,40309.46,23.6,42,211,47,9,16.1,900.97,121,84,0.9,1
LA-R-0377,Railway,Rajasthan,Kota,1391.46,1138,1008,11,0.54,0.36,0.26,0.26,0.17,0.17,0.09,0,0.23,124,24355.7,3547.45,20808.25,14.8,51,299,95,22,-94.7,80.09,102,84,0.91,1
LA-MH-0001,Expressway,Maharashtra,Nashik,842.5,1122,1137,12,0.98,0.92,0.71,0.65,0.58,0.52,0.41,0.34,0.68,23,18400.0,9568.0,8832.0,14.2,28,248,117,14,-54.8,3200.0,92,84,0.84,1
LA-UP-0076,Defence,Uttar Pradesh,Lucknow,914.2,1079,948,9,0.58,0.48,0.28,0.28,0.2,0.2,0.18,0.15,0.29,115,8263.05,1303.53,6959.52,24.2,27,206,19,1,-32.2,2717.02,116,82,0.86,1
LA-TN-0212,Railway,Tamil Nadu,Tiruchirappalli,939.36,605,655,7,0.48,0.31,0.31,0.18,0.18,0.03,0.03,0.03,0.19,68,6417.02,175.13,6241.89,24.4,48,235,127,12,-43.2,4742.18,117,81,0.81,1
LA-R-0349,Industrial Corridor,Rajasthan,Jodhpur,280.42,777,750,6,0.44,0.33,0.23,0.13,0.13,0.13,0.07,0.07,0.19,53,12676.75,1197.05,11479.7,23.4,55,158,94,23,15.4,818.79,116,81,0.78,1
LA-AP-0807,SEZ,Andhra Pradesh,Rajahmundry,790.16,783,805,11,0.38,0.38,0.34,0.16,0.16,0.16,0.16,0.14,0.24,91,8677.75,1205.56,7472.19,20.3,48,234,93,2,-19.4,1574.65,114,80,0.87,1
LA-WB-0619,Expressway,West Bengal,Durgapur,2173.69,1478,1645,17,0.56,0.31,0.31,0.19,0.16,0.08,0.08,0,0.21,73,33913.37,2501.47,31411.9,20.4,37,225,90,3,10.0,1313.68,102,80,0.75,1
LA-TN-0236,SEZ,Tamil Nadu,Erode,191.94,276,256,4,0.72,0.46,0.46,0.46,0.22,0.21,0.21,0.19,0.37,21,2825.64,476.97,2348.67,20.7,49,127,55,7,-15.0,544.62,113,79,0.84,1
LA-AP-0813,Industrial Corridor,Andhra Pradesh,Rajahmundry,700.02,793,725,5,0.58,0.46,0.39,0.37,0.21,0.21,0.2,0.2,0.33,84,9406.02,1672.22,7733.8,22.9,32,254,40,6,-58.8,1234.53,105,79,0.82,1
LA-K-0302,SEZ,Karnataka,Davanagere,480.96,476,657,7,0.54,0.49,0.39,0.33,0.19,0.17,0.17,0.02,0.29,37,10735.55,1809.12,8926.43,23.7,48,139,16,0,-50.0,4180.31,117,78,0.7,1
LA-K-0259,Canal/Irrigation,Karnataka,Mysuru,99.96,286,298,3,0.54,0.37,0.31,0.27,0.27,0.27,0.07,0.07,0.27,16,3520.31,838.99,2681.32,19.9,37,92,42,10,-23.3,2451.54,93,78,0.78,1
LA-WB-0656,Smart City,West Bengal,Malda,2374.16,1347,1199,13,0.46,0.29,0.23,0.17,0.09,0.09,0.08,0.08,0.19,42,24018.75,2016.76,22001.99,4.7,56,63,16,0,-24.2,2302.18,113,77,0.72,1
LA-AP-0748,SEZ,Andhra Pradesh,Vijayawada,1236.21,865,1030,10,0.76,0.68,0.58,0.47,0.47,0.38,0.38,0.38,0.51,143,4963.85,1738.41,3225.44,20.8,53,160,33,6,-7.1,3808.79,110,77,0.8,1
LA-UP-0161,National Highway,Uttar Pradesh,Bareilly,606.43,587,556,6,0.6,0.4,0.4,0.29,0.29,0.27,0.09,0.09,0.3,72,6477.38,1351.56,5125.82,18.1,54,295,171,33,-33.3,624.17,108,77,0.83,1
LA-MP-0524,Power Transmission,Madhya Pradesh,Jabalpur,2734.51,1641,1908,16,0.37,0.37,0.17,0.17,0.17,0.16,0.11,0.11,0.2,87,40974.37,5908.75,35065.62,11.8,48,70,12,1,-63.6,1665.03,100,77,0.7,1
